"","RT","TYPE","SERIALNO","PUMA","HINCP","NP"
"311","H",1,99752,102,80000,2
"312","H",1,99838,102,20000,1
"313","H",1,99914,200,36800,3
"314","H",1,100317,103,325200,2
"315","H",1,100522,300,NA,0
"316","H",1,100760,102,716400,3
"317","H",1,100996,103,67000,5
"318","H",1,101442,200,54100,5
"319","H",1,101510,300,1900,1
"320","H",1,102644,101,0,1
"321","H",1,103756,300,52600,5
"322","H",1,104055,102,9800,1
"323","H",1,104565,200,27000,1
"324","H",1,104772,103,140020,2
"325","H",3,104952,103,NA,1
"326","H",1,105031,103,172000,3
"327","H",1,105298,300,NA,0
"328","H",1,105458,101,186800,2
"329","H",1,105940,104,33200,1
"330","H",1,106311,300,30700,2
"331","H",1,106386,102,193000,5
"332","H",1,107233,102,9834,1
"333","H",1,107375,101,39000,5
"334","H",1,107804,300,40000,2
"335","H",1,108023,103,96000,1
"336","H",1,108406,101,72000,1
"337","H",1,109991,300,NA,0
"338","H",1,110809,300,66950,1
"339","H",1,111003,300,13500,1
"340","H",1,112646,102,64810,1
"341","H",1,113123,200,145600,5
"342","H",1,113865,300,60200,1
"343","H",1,113908,300,54500,3
"344","H",1,113948,300,15920,1
"345","H",3,114010,101,NA,1
"346","H",1,114317,200,94920,2
"347","H",1,115187,102,22800,1
"348","H",1,115224,300,23300,1
"349","H",1,115480,300,48000,2
"350","H",1,117686,200,45600,7
"351","H",1,117881,200,197000,5
"352","H",1,117989,104,162700,5
"353","H",1,118118,104,144000,4
"354","H",1,118544,200,49900,1
"355","H",1,118551,300,9730,1
"356","H",1,118554,103,25000,1
"357","H",1,118704,104,27000,2
"358","H",1,120027,101,NA,0
"359","H",1,120759,103,89500,1
"360","H",1,120861,300,32400,2
"361","H",1,120993,102,89720,4
"362","H",1,121465,102,100000,1
"363","H",1,122653,102,21300,1
"364","H",1,123167,200,19000,1
"365","H",1,123626,300,13050,2
"366","H",1,123780,200,73820,6
"367","H",1,123800,300,25000,1
"368","H",1,124594,103,166400,2
"369","H",1,124754,101,75000,2
"370","H",1,124797,300,NA,0
"371","H",1,124890,101,NA,0
"372","H",1,125001,300,33920,2
"373","H",1,125441,200,NA,0
"374","H",1,126104,101,173000,3
"375","H",1,126191,200,27100,1
"376","H",1,126638,200,92500,2
"377","H",1,126728,104,113000,2
"378","H",1,127258,101,27800,1
"379","H",1,127438,103,34490,1
"380","H",1,127510,300,NA,0
"381","H",1,127586,200,224200,5
"382","H",1,128202,200,60000,5
"383","H",1,128403,200,13000,1
"384","H",1,128442,300,NA,0
"385","H",1,128673,300,94900,2
"386","H",1,129841,200,88600,5
"387","H",2,130259,300,NA,1
"388","H",1,131492,102,150300,4
"389","H",1,131720,103,105400,2
"390","H",1,131871,102,35000,1
"391","H",1,131874,102,39000,1
"392","H",1,131889,300,NA,0
"393","H",1,131921,104,89000,2
"394","H",1,132045,300,NA,0
"395","H",1,132183,300,NA,0
"396","H",1,132379,200,77000,3
"397","H",1,132432,104,267500,2
"398","H",1,132639,103,15200,2
"399","H",1,132865,300,55800,4
"400","H",1,133049,102,217200,2
"401","H",1,133099,200,70100,3
"402","H",3,133524,103,NA,1
"403","H",1,133578,200,56000,3
"404","H",1,133693,300,54800,4
"405","H",1,133721,300,95200,2
"406","H",1,133903,300,40000,2
"407","H",1,134075,300,NA,0
"408","H",1,134339,102,16500,2
"409","H",1,134395,101,77000,2
"410","H",1,134537,300,44500,2
"411","H",1,134913,300,NA,0
"412","H",1,135045,200,34000,3
"413","H",1,135557,101,NA,0
"414","H",1,135820,300,65800,2
"415","H",1,136081,104,215600,2
"416","H",1,136311,300,126500,2
"417","H",1,136397,300,NA,0
"418","H",1,136553,103,24000,1
"419","H",1,136599,104,50000,1
"420","H",1,136886,104,139000,3
"421","H",1,137137,104,63000,2
"422","H",1,137383,200,18000,4
"423","H",1,137956,200,6000,2
"424","H",1,137957,300,106800,2
"425","H",1,138194,300,164800,2
"426","H",1,138559,300,38300,2
"427","H",1,138572,300,NA,0
"428","H",1,138822,103,34900,2
"429","H",1,138911,104,214000,4
"430","H",1,139743,300,90000,5
"431","H",1,140231,300,90500,3
"432","H",1,140262,103,19200,1
"433","H",1,140418,200,69000,2
"434","H",1,140922,300,130000,2
"435","H",1,140946,300,55000,2
"436","H",1,141578,101,NA,0
"437","H",1,141902,300,46300,2
"438","H",1,142249,103,22800,2
"439","H",1,142332,104,75000,3
"440","H",1,142764,300,9700,1
"441","H",3,143194,300,NA,1
"442","H",1,143460,300,21600,2
"443","H",2,143681,102,NA,1
"444","H",1,144381,102,36690,1
"445","H",1,144494,300,29000,2
"446","H",1,144615,103,121000,4
"447","H",1,145261,103,18400,1
"448","H",1,145577,300,NA,0
"449","H",1,145756,300,NA,0
"450","H",1,145981,103,23000,3
"451","H",1,146356,104,15080,6
"452","H",1,146500,103,10100,1
